"message","expected_label","source"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 1 with reference batch-1001.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 2 with reference batch-1002.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 3 with reference batch-1003.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 4 with reference batch-1004.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 5 with reference batch-1005.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 6 with reference batch-1006.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 7 with reference batch-1007.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 8 with reference batch-1008.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 9 with reference batch-1009.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 10 with reference batch-1010.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 11 with reference batch-1011.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 12 with reference batch-1012.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 13 with reference batch-1013.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 14 with reference batch-1014.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 15 with reference batch-1015.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 16 with reference batch-1016.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 17 with reference batch-1017.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 18 with reference batch-1018.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 19 with reference batch-1019.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 20 with reference batch-1020.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 21 with reference batch-1021.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 22 with reference batch-1022.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 23 with reference batch-1023.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 24 with reference batch-1024.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 25 with reference batch-1025.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 26 with reference batch-1026.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 27 with reference batch-1027.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 28 with reference batch-1028.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 29 with reference batch-1029.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 30 with reference batch-1030.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 31 with reference batch-1031.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 32 with reference batch-1032.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 33 with reference batch-1033.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 34 with reference batch-1034.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 35 with reference batch-1035.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 36 with reference batch-1036.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 37 with reference batch-1037.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 38 with reference batch-1038.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 39 with reference batch-1039.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 40 with reference batch-1040.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 41 with reference batch-1041.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 42 with reference batch-1042.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 43 with reference batch-1043.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 44 with reference batch-1044.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 45 with reference batch-1045.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 46 with reference batch-1046.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 47 with reference batch-1047.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 48 with reference batch-1048.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 49 with reference batch-1049.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 50 with reference batch-1050.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 51 with reference batch-1051.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 52 with reference batch-1052.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 53 with reference batch-1053.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 54 with reference batch-1054.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 55 with reference batch-1055.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 56 with reference batch-1056.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 57 with reference batch-1057.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 58 with reference batch-1058.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 59 with reference batch-1059.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 60 with reference batch-1060.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 61 with reference batch-1061.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 62 with reference batch-1062.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 63 with reference batch-1063.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 64 with reference batch-1064.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 65 with reference batch-1065.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 66 with reference batch-1066.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 67 with reference batch-1067.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 68 with reference batch-1068.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 69 with reference batch-1069.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 70 with reference batch-1070.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Stress spam case 71 with reference batch-1071.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Stress spam case 72 with reference batch-1072.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Stress spam case 73 with reference batch-1073.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Stress spam case 74 with reference batch-1074.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Stress spam case 75 with reference batch-1075.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Stress spam case 76 with reference batch-1076.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Stress spam case 77 with reference batch-1077.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Stress spam case 78 with reference batch-1078.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Stress spam case 79 with reference batch-1079.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Stress spam case 80 with reference batch-1080.","spam","batch"
