"message","expected_label","source"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #1","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #2","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #3","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #4","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #5","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #6","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #7","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #8","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #9","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #10","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #11","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #12","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #13","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #14","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #15","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #16","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #17","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #18","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #19","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #20","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #21","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #22","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #23","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #24","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #25","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #26","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #27","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #28","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #29","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #30","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #31","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #32","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #33","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #34","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #35","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #36","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #37","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #38","spam","batch"
"You have been selected for a bonus voucher. Open this link to receive it. Ref #39","spam","batch"
"Final warning: your parcel delivery failed. Pay the fee using this secure link. Ref #40","spam","batch"
"Congratulations! You won a free iPhone. Click the link to claim your prize now. Ref #41","spam","batch"
"Urgent notice: your bank account is locked. Verify your identity immediately here. Ref #42","spam","batch"
"Limited-time offer! Get a cash reward today by submitting your details now. Ref #43","spam","batch"
