"message","expected_label","source"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Case 1.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Case 2.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Case 3.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Case 4.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Case 5.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Case 6.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Case 7.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Case 8.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Case 9.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Case 10.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Case 11.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Case 12.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Case 13.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Case 14.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Case 15.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Case 16.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Case 17.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Case 18.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Case 19.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Case 20.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Case 21.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Case 22.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Case 23.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Case 24.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Case 25.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Case 26.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Case 27.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Case 28.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Case 29.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Case 30.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Case 31.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Case 32.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Case 33.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Case 34.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Case 35.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Case 36.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Case 37.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Case 38.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Case 39.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Case 40.","spam","batch"
"We noticed unusual activity on your payroll profile, so please re-check your employee portal details today to avoid a temporary hold. Case 41.","spam","batch"
"Your subscription discount is waiting, but the confirmation form closes tonight and needs your card details to keep the offer active. Case 42.","spam","batch"
"A courier attempted delivery this morning, and the parcel can still be released after a small address verification payment. Case 43.","spam","batch"
"The finance desk could not process your reimbursement because the banking form was incomplete, so resubmit it using the secure page below. Case 44.","spam","batch"
"A customer support audit flagged your account session as expired, and your access may be limited unless you confirm your password reset now. Case 45.","spam","batch"
"Your tax refund review is complete, and the transfer can be released once you verify your identity through the attached claim page. Case 46.","spam","batch"
"The shared drive message quota has been exceeded, and incoming files may bounce back until you sign in to refresh your storage. Case 47.","spam","batch"
"Your university fee receipt is ready, but the records team needs immediate confirmation of the payment link before the deadline passes. Case 48.","spam","batch"
"Security monitoring detected a sign-in from a new region, and your mailbox will stay restricted until ownership is confirmed. Case 49.","spam","batch"
"You have been shortlisted for a loyalty rebate, and the last step is to submit your contact and banking details for approval. Case 50.","spam","batch"
"I have updated the slide deck with the comments from yesterday, so please review section three before the client call. Note 1.","ham","batch"
"The lab session will start ten minutes later tomorrow because the room booking changed this afternoon. Note 2.","ham","batch"
"Can you bring the signed attendance sheet to class on Friday so I can submit the final group record? Note 3.","ham","batch"
"The restaurant confirmed our reservation for seven people at 6:30 PM, and they asked whether anyone needs a vegetarian option. Note 4.","ham","batch"
"Please check the shared folder when you have time because I uploaded the revised database diagram and meeting notes. Note 5.","ham","batch"
"My train arrives around 5:20 PM, so I should reach campus just before the workshop begins. Note 6.","ham","batch"
"The tutor posted the sample answers for quiz two, and I think question four matches what we discussed after class. Note 7.","ham","batch"
"I left the charger in the library study room, so let me know if you see it when you pass by later. Note 8.","ham","batch"
"The printing office said our posters will be ready tomorrow morning if no further edits are needed tonight. Note 9.","ham","batch"
"Could you send me the final version of the budget sheet before lunch so I can combine it with the other files? Note 10.","ham","batch"
"I have updated the slide deck with the comments from yesterday, so please review section three before the client call. Note 11.","ham","batch"
"The lab session will start ten minutes later tomorrow because the room booking changed this afternoon. Note 12.","ham","batch"
"Can you bring the signed attendance sheet to class on Friday so I can submit the final group record? Note 13.","ham","batch"
"The restaurant confirmed our reservation for seven people at 6:30 PM, and they asked whether anyone needs a vegetarian option. Note 14.","ham","batch"
"Please check the shared folder when you have time because I uploaded the revised database diagram and meeting notes. Note 15.","ham","batch"
"My train arrives around 5:20 PM, so I should reach campus just before the workshop begins. Note 16.","ham","batch"
"The tutor posted the sample answers for quiz two, and I think question four matches what we discussed after class. Note 17.","ham","batch"
"I left the charger in the library study room, so let me know if you see it when you pass by later. Note 18.","ham","batch"
"The printing office said our posters will be ready tomorrow morning if no further edits are needed tonight. Note 19.","ham","batch"
"Could you send me the final version of the budget sheet before lunch so I can combine it with the other files? Note 20.","ham","batch"
"I have updated the slide deck with the comments from yesterday, so please review section three before the client call. Note 21.","ham","batch"
"The lab session will start ten minutes later tomorrow because the room booking changed this afternoon. Note 22.","ham","batch"
"Can you bring the signed attendance sheet to class on Friday so I can submit the final group record? Note 23.","ham","batch"
"The restaurant confirmed our reservation for seven people at 6:30 PM, and they asked whether anyone needs a vegetarian option. Note 24.","ham","batch"
"Please check the shared folder when you have time because I uploaded the revised database diagram and meeting notes. Note 25.","ham","batch"
"My train arrives around 5:20 PM, so I should reach campus just before the workshop begins. Note 26.","ham","batch"
"The tutor posted the sample answers for quiz two, and I think question four matches what we discussed after class. Note 27.","ham","batch"
"I left the charger in the library study room, so let me know if you see it when you pass by later. Note 28.","ham","batch"
"The printing office said our posters will be ready tomorrow morning if no further edits are needed tonight. Note 29.","ham","batch"
"Could you send me the final version of the budget sheet before lunch so I can combine it with the other files? Note 30.","ham","batch"
"I have updated the slide deck with the comments from yesterday, so please review section three before the client call. Note 31.","ham","batch"
"The lab session will start ten minutes later tomorrow because the room booking changed this afternoon. Note 32.","ham","batch"
"Can you bring the signed attendance sheet to class on Friday so I can submit the final group record? Note 33.","ham","batch"
"The restaurant confirmed our reservation for seven people at 6:30 PM, and they asked whether anyone needs a vegetarian option. Note 34.","ham","batch"
"Please check the shared folder when you have time because I uploaded the revised database diagram and meeting notes. Note 35.","ham","batch"
"My train arrives around 5:20 PM, so I should reach campus just before the workshop begins. Note 36.","ham","batch"
"The tutor posted the sample answers for quiz two, and I think question four matches what we discussed after class. Note 37.","ham","batch"
"I left the charger in the library study room, so let me know if you see it when you pass by later. Note 38.","ham","batch"
"The printing office said our posters will be ready tomorrow morning if no further edits are needed tonight. Note 39.","ham","batch"
"Could you send me the final version of the budget sheet before lunch so I can combine it with the other files? Note 40.","ham","batch"
"I have updated the slide deck with the comments from yesterday, so please review section three before the client call. Note 41.","ham","batch"
"The lab session will start ten minutes later tomorrow because the room booking changed this afternoon. Note 42.","ham","batch"
"Can you bring the signed attendance sheet to class on Friday so I can submit the final group record? Note 43.","ham","batch"
"The restaurant confirmed our reservation for seven people at 6:30 PM, and they asked whether anyone needs a vegetarian option. Note 44.","ham","batch"
"Please check the shared folder when you have time because I uploaded the revised database diagram and meeting notes. Note 45.","ham","batch"
